Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Kepong,1950000,5,4,55.075,Partly Furnished,Land area,5,1,0,Semi-detached House
Kepong,598000,3,3,35.555,Partly Furnished,Land area,2,0,0,Terrace/Link House
Kepong,728000,3,3,45.07,Partly Furnished,Land area,4,0,0,Terrace/Link House
Sentul,390000,2,4,750.05,Partly Furnished,Land area,3,0,0,Terrace/Link House
Kepong,1180000,5,3,45.07,Partly Furnished,Land area,6,0,0,Terrace/Link House
Kepong,535000,2,3,42.565,Unfurnished,Land area,3,0,0,Terrace/Link House
Kepong,598000,2,3,35.555,Partly Furnished,Land area,3,0,0,Terrace/Link House
Kepong,668000,2,4,48.575,Unknown,Land area,3,0,0,Terrace/Link House
Kepong,1050000,2,5,56.07,Partly Furnished,Land area,4,1,0,Terrace/Link House
Sentul,390000,2,3,600.0,Unfurnished,Built-up,3,0,0,Terrace/Link House
Jalan Klang Lama (Old Klang Road),1150000,4,2,1875.075,Partly Furnished,Built-up,3,1,0,Condominium
Segambut,690000,3,2,1298.098,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,900000,2,2,1218.018,Unfurnished,Built-up,3,0,0,Serviced Residence
Damansara Heights,5100000,3,6,7600.0,Partly Furnished,Land area,4,1,0,Bungalow
Damansara Heights,5100000,3,6,7600.0,Partly Furnished,Land area,4,1,0,Bungalow
Cheras,500000,2,2,1142.042,Unfurnished,Built-up,3,1,0,Condominium
Cheras,480000,2,1,1142.042,Unfurnished,Built-up,3,1,0,Condominium
Cheras,470000,2,1,1142.042,Unfurnished,Built-up,3,1,0,Condominium
Cheras,490000,2,2,1142.042,Unfurnished,Built-up,3,1,0,Condominium
Bukit Jalil,2600000,6,3,3260.06,Partly Furnished,Built-up,4,0,0,Condominium
Segambut,710000,3,2,1391.091,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,655000,3,2,40.06,Partly Furnished,Land area,4,0,0,Terrace/Link House
Ampang Hilir,1900000,3,4,2700.0,Partly Furnished,Built-up,4,0,0,Terrace/Link House
KLCC,690000,2,1,919.019,Fully Furnished,Built-up,2,0,0,Condominium
Bukit Jalil,419999,2,1,950.05,Partly Furnished,Built-up,3,0,0,Apartment
Sri Hartamas,3100000,5,3,3466.066,Fully Furnished,Built-up,4,2,0,Condominium
Bangsar,6500000,4,4,8090.09,Fully Furnished,Land area,3,1,0,Bungalow
KLCC,4550000,2,2,1345.045,Partly Furnished,Built-up,2,1,0,Condominium
Kuchai Lama,810000,2,2,1150.05,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,500000,3,1,1010.01,Partly Furnished,Built-up,3,0,0,Condominium
Bangsar,5000000,7,3,8633.033,Partly Furnished,Land area,5,0,0,Bungalow
Jalan Klang Lama (Old Klang Road),680000,2,2,1094.094,Partly Furnished,Built-up,3,1,0,Serviced Residence
Ampang Hilir,3600000,6,4,6441.041,Partly Furnished,Built-up,5,1,0,Semi-detached House
Dutamas,1450000,4,3,2070.07,Partly Furnished,Built-up,4,1,0,Condominium
Ampang,738000,4,2,3000.0,Partly Furnished,Built-up,5,0,0,Condominium
Ampang,780000,2,2,1018.018,Partly Furnished,Built-up,1,1,0,Serviced Residence
Bukit Bintang,1000000,3,1,1066.066,Fully Furnished,Built-up,3,0,0,Serviced Residence
Ampang Hilir,1048800,1,1,686.086,Partly Furnished,Built-up,1,0,0,Condominium
Ampang Hilir,1307800,2,1,848.048,Partly Furnished,Built-up,2,0,0,Condominium
Sri Petaling,399000,2,1,34.054,Partly Furnished,Land area,4,0,0,Terrace/Link House
Bangsar,615000,2,1,1315.015,Partly Furnished,Built-up,3,0,0,Condominium
Kepong,350000,2,1,850.05,Unfurnished,Built-up,3,0,0,Apartment
Kepong,2900000,6,6,3600.0,Partly Furnished,Built-up,6,0,0,Semi-detached House
Jalan Kuching,438000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Condominium
Kepong,1250000,2,4,2940.04,Partly Furnished,Land area,4,0,0,Terrace/Link House
Kepong,1250000,5,5,53.585,Fully Furnished,Land area,5,0,0,Terrace/Link House
Kepong,1000000,5,4,43.565,Fully Furnished,Land area,9,0,0,Terrace/Link House
Bandar Menjalara,650000,2,1,1316.016,Fully Furnished,Built-up,3,0,0,Condominium
Bandar Menjalara,618000,3,2,1310.01,Fully Furnished,Built-up,3,1,0,Condominium
Bandar Menjalara,680000,2,2,1316.016,Fully Furnished,Built-up,3,0,0,Condominium
Bandar Menjalara,830000,3,2,1635.035,Fully Furnished,Built-up,5,0,0,Condominium
Jalan Ipoh,2300000,5,2,4480.08,Partly Furnished,Built-up,6,0,0,Terrace/Link House
Bandar Menjalara,680000,3,2,1635.035,Partly Furnished,Built-up,4,1,0,Condominium
Jalan Klang Lama (Old Klang Road),380000,2,1,1100.0,Fully Furnished,Land area,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),400000,2,1,1100.0,Partly Furnished,Land area,3,0,0,Condominium
Kepong,648000,3,4,48.575,Unfurnished,Land area,8,0,0,Terrace/Link House
Kepong,1780000,4,2,60.08,Fully Furnished,Land area,6,1,0,Terrace/Link House
Bandar Menjalara,948000,3,4,51.08,Partly Furnished,Land area,3,1,0,Terrace/Link House
Kepong,530000,2,2,1430.03,Unfurnished,Built-up,3,0,0,Terrace/Link House
Bandar Menjalara,590000,2,2,35.555,Partly Furnished,Land area,3,0,0,Terrace/Link House
Cheras,520000,2,2,962.062,Partly Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,800000,1,1,904.004,Partly Furnished,Built-up,1,1,0,Condominium
Sunway SPK,1580000,3,2,1650.05,Partly Furnished,Land area,4,0,0,Terrace/Link House
Jalan Kuching,680000,2,1,1260.06,Fully Furnished,Built-up,3,1,0,Condominium
Bandar Menjalara,670000,3,2,1316.016,Partly Furnished,Built-up,4,0,0,Condominium
Mont Kiara,930000,2,1,1400.0,Fully Furnished,Built-up,3,0,0,Condominium
Bandar Menjalara,730000,3,2,1316.016,Partly Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),330000,2,1,942.042,Unfurnished,Built-up,3,0,0,Condominium
KLCC,1270000,2,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1538000,2,1,1399.099,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1360000,2,2,873.073,Partly Furnished,Built-up,2,0,0,Condominium
Cheras,355000,2,1,920.02,Partly Furnished,Built-up,3,0,0,Condominium
Kuchai Lama,318000,2,1,1065.065,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,399000,2,1,1060.06,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,368000,2,2,960.06,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,665000,3,2,1054.054,Partly Furnished,Built-up,3,1,0,Serviced Residence
Sungai Besi,600000,2,3,1044.044,Unfurnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),399000,2,1,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,880000,2,2,1381.081,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,1556000,2,2,1031.031,Partly Furnished,Built-up,3,0,0,Condominium
Jalan Kuching,898000,4,2,1590.09,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Kuching,830000,3,2,1590.09,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Kuching,1100000,3,2,1800.0,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Kuching,1000000,4,2,2190.09,Fully Furnished,Built-up,5,0,0,Condominium
KLCC,4300000,5,2,3973.073,Fully Furnished,Built-up,4,1,0,Condominium
KLCC,2700000,5,2,3109.009,Partly Furnished,Built-up,3,1,0,Condominium
Dutamas,1350000,2,1,1238.038,Fully Furnished,Built-up,2,0,0,Serviced Residence
Dutamas,1280000,2,1,1238.038,Fully Furnished,Built-up,3,0,0,Serviced Residence
Dutamas,560000,2,1,1100.0,Fully Furnished,Built-up,3,0,0,Condominium
Dutamas,1350000,2,1,1236.036,Fully Furnished,Built-up,2,0,0,Serviced Residence
Segambut,470000,3,1,1600.0,Unfurnished,Built-up,3,0,0,Townhouse
Bangsar,1980000,4,2,2745.045,Partly Furnished,Built-up,5,0,0,Condominium
Setapak,500000,2,1,1272.072,Partly Furnished,Built-up,4,0,0,Condominium
Bukit Jalil,2330000,6,3,3272.072,Partly Furnished,Land area,5,0,0,Terrace/Link House
Cheras,2000000,4,3,2335.035,Partly Furnished,Land area,5,1,0,Terrace/Link House
KL City,1150000,2,2,1281.081,Fully Furnished,Built-up,3,0,0,Serviced Residence
Jalan Kuching,615000,2,1,1200.0,Fully Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,520000,3,2,1003.003,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,1120000,2,1,973.073,Partly Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1090000,2,1,907.007,Fully Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,2420000,3,2,2452.052,Partly Furnished,Built-up,3,0,0,Serviced Residence
Mont Kiara,2310000,3,2,2273.073,Partly Furnished,Built-up,3,0,0,Serviced Residence
KL City,500000,1,1,1066.066,Fully Furnished,Built-up,2,1,0,Condominium
Dutamas,690000,1,1,672.072,Fully Furnished,Built-up,1,0,0,Serviced Residence
Dutamas,485000,2,1,1326.026,Partly Furnished,Built-up,3,0,0,Condominium
Taman Desa,1250000,3,2,51.08,Partly Furnished,Land area,4,0,0,Terrace/Link House
Cheras,880000,2,2,1164.064,Partly Furnished,Built-up,3,0,0,Serviced Residence
KL City,950000,2,1,674.074,Fully Furnished,Built-up,2,0,0,Serviced Residence
Taman Desa,1200000,3,2,51.08,Fully Furnished,Land area,5,0,0,Terrace/Link House
Setapak,458000,2,2,1350.05,Unfurnished,Built-up,3,1,0,Condominium
Setapak,480000,2,2,1020.02,Unfurnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1120000,3,2,1650.05,Fully Furnished,Built-up,4,1,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),700000,2,1,978.078,Unfurnished,Built-up,3,0,0,Serviced Residence
Dutamas,880000,3,2,1467.067,Unfurnished,Built-up,3,1,0,Condominium
Dutamas,1180000,5,2,1942.042,Unfurnished,Built-up,3,1,0,Condominium
Cheras,575000,2,2,1018.018,Partly Furnished,Built-up,3,0,0,Condominium
Dutamas,1100000,4,3,1799.099,Partly Furnished,Built-up,3,1,0,Condominium
Kuchai Lama,880000,3,2,1948.048,Unfurnished,Built-up,3,1,0,Condominium
Taman Desa,2100000,3,2,76.5,Partly Furnished,Land area,4,1,0,Terrace/Link House
KLCC,1000000,3,2,1206.006,Fully Furnished,Built-up,3,0,0,Serviced Residence
Batu Caves,580000,2,2,975.075,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,550000,3,1,1280.08,Partly Furnished,Built-up,4,0,0,Condominium
Cheras,435000,2,2,970.07,Fully Furnished,Built-up,3,0,0,Condominium
Cheras,399000,2,1,910.01,Fully Furnished,Built-up,3,0,0,Condominium
Cheras,590000,2,2,1394.094,Fully Furnished,Built-up,3,1,0,Condominium
Ampang,1100000,2,1,887.087,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Sultan Ismail,550000,1,1,625.025,Fully Furnished,Built-up,1,0,0,Serviced Residence
Cheras,547000,2,1,1394.094,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,505000,2,2,1142.042,Partly Furnished,Built-up,4,0,0,Condominium
Kuchai Lama,530000,2,1,1120.02,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Bintang,1500000,3,2,1507.007,Fully Furnished,Built-up,4,0,0,Serviced Residence
Jalan Kuching,1150000,3,3,1950.05,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,2200000,4,2,2315.015,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Kuching,560000,2,1,1320.02,Fully Furnished,Built-up,3,0,0,Condominium
Sentul,589000,2,2,1230.03,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,2500,4,1,2371.071,Fully Furnished,Built-up,4,0,0,Townhouse
Jalan Kuching,630000,2,2,1197.097,Unfurnished,Built-up,3,0,0,Condominium
Cheras,360000,2,1,920.02,Partly Furnished,Built-up,3,0,0,Condominium
Seputeh,870000,3,2,1402.002,Fully Furnished,Built-up,3,1,0,Serviced Residence
Cheras,620000,3,2,1441.041,Unfurnished,Built-up,3,0,0,Terrace/Link House
Jalan Klang Lama (Old Klang Road),805000,2,2,1392.092,Fully Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,900000,3,2,1457.057,Partly Furnished,Built-up,3,1,0,Condominium
Kuchai Lama,398000,2,1,1132.032,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,630000,2,3,1073.073,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,438000,2,1,950.05,Fully Furnished,Built-up,3,0,0,Serviced Residence
Jalan Sultan Ismail,825000,2,1,924.024,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Sultan Ismail,888000,2,1,1120.02,Fully Furnished,Built-up,3,0,0,Serviced Residence
Ampang,760000,2,1,950.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),598000,3,1,1200.0,Fully Furnished,Built-up,4,0,0,Condominium
Salak Selatan,680000,2,2,1089.089,Partly Furnished,Built-up,3,0,0,Serviced Residence
Jalan Ipoh,630000,2,1,1037.037,Unfurnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),500000,2,2,1240.04,Partly Furnished,Built-up,3,0,0,Condominium
Salak Selatan,428000,1,2,565.065,Partly Furnished,Built-up,2,0,0,Serviced Residence
Sungai Besi,1030000,4,2,50.08,Partly Furnished,Land area,5,0,0,Terrace/Link House
Sri Petaling,720000,3,4,2000.0,Unfurnished,Land area,3,1,0,Terrace/Link House
Sri Petaling,1180000,4,3,51.08,Partly Furnished,Land area,4,0,0,Terrace/Link House
Bukit Jalil,398000,2,1,1098.098,Partly Furnished,Built-up,3,0,0,Apartment
Setapak,478000,2,2,1333.033,Partly Furnished,Built-up,3,0,0,Condominium
Ampang,530000,1,1,680.08,Fully Furnished,Built-up,1,0,0,Serviced Residence
Wangsa Maju,450000,1,2,790.09,Fully Furnished,Built-up,1,1,0,Condominium
Setapak,490000,2,13,1350.05,Unfurnished,Built-up,3,1,0,Condominium
Dutamas,930000,2,1,1145.045,Partly Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,1200000,2,1,948.048,Fully Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1050000,3,2,1697.097,Fully Furnished,Built-up,3,1,0,Serviced Residence
Kepong,630000,2,2,45.07,Partly Furnished,Land area,3,0,0,Terrace/Link House
Mont Kiara,1850000,4,3,4125.025,Fully Furnished,Built-up,3,1,0,Condominium
Cheras,1150000,3,5,53.575,Unfurnished,Land area,4,1,0,Terrace/Link House
Bukit Jalil,290000,2,1,732.032,Partly Furnished,Built-up,2,0,0,Apartment
Kepong,850000,2,2,45.07,Partly Furnished,Land area,3,0,0,Terrace/Link House
Taman Desa,1550000,4,2,1784.084,Fully Furnished,Land area,3,1,0,Condominium
Setapak,460000,2,2,1207.007,Fully Furnished,Land area,3,0,0,Condominium
Mont Kiara,990000,2,1,932.032,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,16000,5,2,3600.0,Fully Furnished,Built-up,3,1,0,Condominium
Setapak,380000,2,2,950.05,Unfurnished,Built-up,4,0,0,Condominium
Sungai Besi,830000,2,2,1259.059,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Bintang,1290000,2,1,1555.055,Fully Furnished,Built-up,3,0,0,Serviced Residence
Pandan Perdana,280000,1,1,450.05,Partly Furnished,Built-up,1,0,0,Condominium
Jalan Ipoh,580000,2,2,1037.037,Partly Furnished,Built-up,3,0,0,Condominium
Ampang,740000,2,1,950.05,Fully Furnished,Built-up,3,0,0,Serviced Residence
Bukit Jalil,630000,3,2,1246.046,Partly Furnished,Built-up,3,1,0,Condominium
Segambut,690000,2,2,1262.062,Partly Furnished,Built-up,3,1,0,Condominium
Segambut,630000,2,2,1091.091,Unfurnished,Built-up,3,0,0,Condominium
Dutamas,1450000,2,2,1181.081,Fully Furnished,Built-up,2,0,0,Residential Land
Kuchai Lama,440000,2,1,935.035,Partly Furnished,Built-up,3,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),695000,2,2,935.035,Partly Furnished,Built-up,3,0,0,Condominium
Kuchai Lama,520000,2,2,1120.02,Fully Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,2600000,6,3,3260.06,Partly Furnished,Built-up,4,0,0,Condominium
Jalan Klang Lama (Old Klang Road),880000,3,2,1300.0,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),810000,2,2,1488.088,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Bintang,605000,1,1,550.05,Fully Furnished,Built-up,0,0,1,Serviced Residence
Kuchai Lama,540000,2,1,1120.02,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,450000,2,1,1460.06,Partly Furnished,Built-up,3,1,0,Condominium
Cheras,550000,2,2,1050.05,Unfurnished,Built-up,3,0,0,Condominium
Taman Desa,3688000,5,5,5403.003,Partly Furnished,Built-up,5,0,0,Bungalow
KLCC,2400000,2,1,1076.076,Partly Furnished,Land area,1,1,0,Serviced Residence
Setapak,358000,2,2,856.056,Unfurnished,Built-up,3,0,0,Serviced Residence
Bukit Bintang,828000,2,1,1044.044,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bukit Jalil,548000,2,2,1050.05,Partly Furnished,Built-up,3,0,0,Condominium
Jalan Klang Lama (Old Klang Road),370000,2,1,950.05,Partly Furnished,Built-up,3,0,0,Serviced Residence
Cheras,300000,2,1,820.02,Unfurnished,Built-up,3,0,0,Condominium
Dutamas,428000,2,1,850.05,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,570000,2,2,1032.032,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,5000,4,1,1600.0,Fully Furnished,Built-up,3,1,0,Condominium
Sungai Besi,520000,2,1,1180.08,Partly Furnished,Built-up,3,0,0,Condominium
Sungai Besi,500000,2,2,1074.074,Partly Furnished,Built-up,3,0,0,Condominium
Dutamas,490000,2,1,1100.0,Partly Furnished,Built-up,3,0,0,Condominium
Taman Desa,1380000,3,2,1712.012,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),415000,2,1,751.051,Partly Furnished,Built-up,2,1,0,Serviced Residence
Segambut,458000,2,2,29.545,Unfurnished,Land area,3,0,0,Terrace/Link House
Sri Hartamas,3000000,5,3,4324.024,Partly Furnished,Built-up,4,1,0,Semi-detached House
Sri Hartamas,3290000,4,3,3691.091,Partly Furnished,Built-up,3,2,0,Condominium
Mont Kiara,4200000,5,3,4800.0,Partly Furnished,Built-up,5,2,0,Semi-detached House
Mont Kiara,3600000,6,3,52.08,Partly Furnished,Land area,4,2,0,Terrace/Link House
Mont Kiara,2350000,4,5,3050.05,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,4500000,6,3,4304.004,Fully Furnished,Built-up,5,1,0,Terrace/Link House
Mont Kiara,2250000,5,3,2973.073,Unfurnished,Built-up,4,1,0,Condominium
Taman Tun Dr Ismail,5300000,7,6,7319.019,Partly Furnished,Land area,6,1,0,Bungalow
Taman Tun Dr Ismail,920000,2,1,1350.05,Partly Furnished,Built-up,3,0,0,Condominium
Taman Tun Dr Ismail,1300000,3,2,1825.025,Fully Furnished,Built-up,3,1,0,Condominium
Ampang,2100000,4,2,1632.032,Fully Furnished,Built-up,3,1,0,Condominium
Bangsar,2980000,4,2,3300.0,Unfurnished,Land area,4,1,0,Terrace/Link House
Cheras,395000,2,1,927.027,Fully Furnished,Built-up,3,0,0,Condominium
Ampang,2400000,4,2,1800.0,Fully Furnished,Built-up,3,1,0,Condominium
Jalan Klang Lama (Old Klang Road),620000,2,1,852.052,Partly Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,2550000,5,3,2906.006,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1250000,3,2,1641.041,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,2700000,5,3,3541.041,Partly Furnished,Built-up,4,1,0,Condominium
Cheras,310000,1,1,610.01,Fully Furnished,Built-up,0,0,1,Serviced Residence
Mont Kiara,1750000,5,3,2726.026,Fully Furnished,Built-up,4,1,0,Condominium
Cheras,850000,3,2,48.575,Fully Furnished,Land area,4,0,0,Terrace/Link House
Mont Kiara,2700000,5,3,3980.08,Partly Furnished,Built-up,4,1,0,Condominium
Cheras,365000,2,1,1126.026,Partly Furnished,Built-up,3,0,0,Condominium
Cheras,460000,2,1,1100.0,Fully Furnished,Built-up,3,0,0,Serviced Residence
Cheras,348000,1,1,695.095,Fully Furnished,Built-up,2,0,0,Serviced Residence
Cheras,400000,2,1,916.016,Fully Furnished,Built-up,2,0,0,Serviced Residence
Mont Kiara,1250000,3,2,1703.003,Fully Furnished,Built-up,3,1,0,Condominium
Taman Desa,630000,2,1,935.035,Unfurnished,Built-up,3,0,0,Serviced Residence
Seputeh,628000,2,2,1021.021,Fully Furnished,Built-up,2,0,0,Condominium
Seputeh,5500000,6,3,4844.044,Partly Furnished,Land area,5,1,0,Bungalow
Seputeh,8000000,7,6,7166.066,Unfurnished,Land area,5,1,0,Bungalow
Seputeh,1700000,3,2,2293.093,Partly Furnished,Land area,4,0,0,Terrace/Link House
Seputeh,1650000,3,2,1600.0,Partly Furnished,Land area,5,0,0,Terrace/Link House
Seputeh,1700000,4,2,1600.0,Partly Furnished,Land area,4,1,0,Terrace/Link House
Seputeh,3900000,4,4,8288.088,Partly Furnished,Land area,5,0,0,Bungalow
Seputeh,2500000,4,6,7000.0,Unfurnished,Land area,5,1,0,Bungalow
Seputeh,4800000,6,4,7900.0,Partly Furnished,Land area,4,1,0,Bungalow
Taman Melawati,3880000,6,2,4800.0,Partly Furnished,Land area,5,1,0,Bungalow
Seputeh,3500000,4,4,6800.0,Partly Furnished,Land area,6,0,0,Bungalow
Kuchai Lama,520000,2,2,1313.013,Unfurnished,Built-up,3,0,0,Condominium
Seputeh,5500000,6,6,5963.063,Partly Furnished,Land area,6,1,0,Bungalow
Seputeh,1200000,4,2,1798.098,Fully Furnished,Built-up,3,1,0,Condominium
Seputeh,1600000,3,2,43.565,Partly Furnished,Land area,4,0,0,Terrace/Link House
Seputeh,5000000,4,4,5280.08,Partly Furnished,Land area,6,0,0,Bungalow
Seputeh,2300000,4,2,2200.0,Partly Furnished,Land area,4,1,0,Terrace/Link House
Seputeh,1680000,3,2,2800.0,Fully Furnished,Built-up,2,1,0,Condominium
City Centre,1550000,1,1,1131.031,Fully Furnished,Built-up,1,0,0,Serviced Residence
Desa Pandan,800000,2,2,1076.076,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,880000,1,1,493.093,Fully Furnished,Built-up,0,0,1,Serviced Residence
City Centre,2178900,2,1,1614.014,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,1100000,2,1,915.015,Partly Furnished,Built-up,2,0,0,Serviced Residence
Kepong,985000,2,1,3200.0,Unfurnished,Built-up,3,0,0,Terrace/Link House
Mont Kiara,1020000,3,1,1556.056,Fully Furnished,Built-up,3,1,0,Condominium
City Centre,2090000,3,1,2321.021,Partly Furnished,Built-up,2,2,0,Condominium
Ampang,4800000,5,3,3710.01,Partly Furnished,Built-up,4,1,0,Condominium
Salak Selatan,585000,2,2,845.045,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,4000,3,2,1807.007,Fully Furnished,Built-up,3,1,0,Condominium
Ampang Hilir,5200000,6,4,4400.0,Unfurnished,Built-up,5,0,0,Condominium
Taman Melawati,3278000,6,6,430.025,Partly Furnished,Land area,5,1,0,Bungalow
Bukit Bintang,3000,2,1,1575.075,Fully Furnished,Built-up,3,1,0,Condominium
City Centre,1650000,6,2,2375.075,Fully Furnished,Built-up,5,0,0,Condominium
Mont Kiara,1750000,4,3,2700.0,Partly Furnished,Built-up,4,1,0,Condominium
Damansara Heights,6188720,6,2,3132.032,Partly Furnished,Built-up,4,2,0,Serviced Residence
Setapak,598000,2,1,35.555,Unfurnished,Land area,3,0,0,Terrace/Link House
Mont Kiara,1000000,2,2,1600.0,Fully Furnished,Built-up,2,0,0,Serviced Residence
Segambut,168000,2,1,755.055,Partly Furnished,Built-up,2,1,0,Apartment
Seputeh,700000,3,1,1500.0,Partly Furnished,Built-up,3,1,0,Condominium
Segambut,225000,2,1,855.055,Partly Furnished,Built-up,3,0,0,Apartment
Seputeh,980000,4,2,2616.016,Partly Furnished,Built-up,4,1,0,Condominium
Taman Desa,1350000,3,2,1712.012,Partly Furnished,Built-up,3,1,0,Condominium
Dutamas,2500000,6,3,3860.06,Fully Furnished,Built-up,6,0,0,Semi-detached House
Batu Caves,168000,2,1,776.076,Unfurnished,Built-up,3,0,0,Apartment
Bangsar,1500000,4,1,1977.077,Fully Furnished,Built-up,3,1,0,Condominium
Mont Kiara,800000,2,1,1294.094,Fully Furnished,Built-up,3,0,0,Serviced Residence
Mont Kiara,650000,2,2,1015.015,Unfurnished,Built-up,3,0,0,Condominium
Jalan Ipoh,398000,2,1,855.055,Partly Furnished,Built-up,3,0,0,Apartment
Jalan Ipoh,265000,2,2,855.055,Partly Furnished,Built-up,3,1,0,Apartment
Sentul,850000,4,3,1381.081,Fully Furnished,Built-up,3,1,0,Condominium
Dutamas,2400000,6,3,4333.033,Fully Furnished,Built-up,5,0,0,Bungalow
Bangsar,1080000,2,1,1200.0,Fully Furnished,Built-up,2,1,0,Condominium
Segambut,175000,2,1,755.055,Unfurnished,Built-up,2,0,0,Apartment
Bukit Jalil,620000,2,2,791.091,Partly Furnished,Built-up,2,0,0,Serviced Residence
Bukit Jalil,520000,1,1,667.067,Partly Furnished,Built-up,2,0,0,Serviced Residence
Taman Desa,1650000,4,2,2200.0,Partly Furnished,Built-up,4,1,0,Condominium
Setapak,390000,2,1,1009.009,Unfurnished,Built-up,3,0,0,Serviced Residence
Setapak,550000,2,2,1260.06,Unfurnished,Built-up,3,0,0,Serviced Residence
Setapak,360000,2,2,859.059,Unfurnished,Built-up,2,0,0,Serviced Residence
KL City,540000,2,1,750.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
KL City,320000,1,1,350.05,Fully Furnished,Built-up,0,0,1,Serviced Residence
Mont Kiara,1579750,20,1,1775.075,Partly Furnished,Built-up,3,0,0,Serviced Residence
Sentul,568000,2,1,1079.079,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,1209600,2,1,945.045,Fully Furnished,Built-up,2,0,0,Serviced Residence
Dutamas,1199494,1,1,677.077,Unfurnished,Built-up,1,1,0,Serviced Residence
Taman Tun Dr Ismail,13600000,9,2,16000.0,Partly Furnished,Land area,7,0,0,Bungalow
Taman Melawati,2500000,3,2,7200.0,Partly Furnished,Land area,4,2,0,Semi-detached House
Mont Kiara,3700000,5,3,3620.02,Partly Furnished,Built-up,5,0,0,Serviced Residence
Mont Kiara,1125000,2,1,886.086,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bangsar,1900000,3,2,0.0,Partly Furnished,Land area,3,1,0,Terrace/Link House
Salak Selatan,750000,2,2,1122.022,Unfurnished,Built-up,3,0,0,Serviced Residence
KL City,4000,3,2,1807.007,Fully Furnished,Built-up,3,1,0,Condominium
Sentul,1000000,3,2,1569.069,Fully Furnished,Built-up,3,0,0,Condominium
Dutamas,588000,3,1,1400.0,Partly Furnished,Built-up,3,1,0,Condominium
