Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
City Centre,1700000,2,1,1442.042,Fully Furnished,Built-up,2,1,0,Serviced Residence
Mont Kiara,3100000,6,3,3400.0,Fully Furnished,Built-up,4,1,0,Condominium
Bukit Jalil,630000,2,2,791.091,Partly Furnished,Built-up,2,0,0,Serviced Residence
Kepong,2040000,5,4,53.575,Partly Furnished,Land area,5,1,0,Terrace/Link House
KLCC,1780000,1,1,728.028,Fully Furnished,Built-up,1,0,0,Serviced Residence
Desa ParkCity,1050000,2,2,1389.089,Partly Furnished,Built-up,2,1,0,Condominium
Mont Kiara,2600000,4,3,3041.041,Partly Furnished,Built-up,4,1,0,Condominium
Bangsar South,630000,1,1,663.063,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,3364000,2,2,1399.099,Fully Furnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,978000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,3600000,5,2,3897.097,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,2000000,1,1,1087.087,Fully Furnished,Built-up,1,0,0,Serviced Residence
Mont Kiara,1630000,4,2,2065.065,Partly Furnished,Built-up,4,1,0,Condominium
Taman Tun Dr Ismail,1280000,3,3,50.075,Partly Furnished,Land area,4,0,0,Terrace/Link House
KLCC,1250000,2,1,736.036,Partly Furnished,Built-up,2,0,0,Condominium
Bangsar South,630000,1,1,650.05,Fully Furnished,Built-up,1,1,0,Serviced Residence
KLCC,1350000,2,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Bangsar South,490000,1,1,500.0,Fully Furnished,Built-up,1,0,0,Serviced Residence
Bangsar South,800000,2,1,825.025,Partly Furnished,Built-up,2,0,0,Serviced Residence
Dutamas,1035000,5,2,1853.053,Unknown,Built-up,3,1,0,Condominium
KLCC,1000000,1,1,657.057,Fully Furnished,Built-up,1,0,0,Condominium
Sungai Besi,448800,3,1,1045.045,Unfurnished,Built-up,3,0,0,Serviced Residence
Mont Kiara,2480000,5,3,3041.041,Partly Furnished,Built-up,4,1,0,Condominium
KL Sentral,2716000,4,2,2227.027,Partly Furnished,Built-up,3,1,0,Serviced Residence
Country Heights Damansara,9500000,7,6,10000.0,Partly Furnished,Land area,6,1,0,Bungalow
Taman Desa,500000,2,1,715.015,Partly Furnished,Built-up,2,0,0,Serviced Residence
Damansara Heights,13800000,7,3,7500.0,Partly Furnished,Land area,5,1,0,Bungalow
Desa ParkCity,2300000,3,2,52.583,Partly Furnished,Land area,4,0,0,Terrace/Link House
Mont Kiara,2480000,5,3,3041.041,Unfurnished,Built-up,4,1,0,Condominium
KLCC,3500000,3,1,1560.06,Fully Furnished,Built-up,3,0,0,Serviced Residence
Taman Tun Dr Ismail,1380000,3,2,49.575,Fully Furnished,Land area,4,0,0,Terrace/Link House
KLCC,3600000,4,2,3897.097,Fully Furnished,Built-up,3,1,0,Serviced Residence
Bukit Jalil,1060000,4,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium
Bukit Jalil,900000,3,3,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1850000,1,1,2174.074,Partly Furnished,Built-up,3,0,0,Condominium
Sentul,668000,3,3,1345.045,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,1050000,3,2,1313.013,Fully Furnished,Built-up,2,2,0,Serviced Residence
KLCC,2998000,3,2,3218.018,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,2580000,3,2,2809.009,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1100000,2,1,880.08,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,3600000,3,2,3897.097,Partly Furnished,Built-up,4,1,0,Serviced Residence
KLCC,2900000,4,3,2809.009,Fully Furnished,Built-up,3,1,0,Condominium
Sentul,670000,2,2,1085.085,Partly Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,1350000,2,2,1292.092,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1900000,2,1,915.015,Partly Furnished,Built-up,2,0,0,Condominium
KLCC,1450000,2,2,1090.09,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1300000,1,1,925.025,Partly Furnished,Built-up,1,0,0,Serviced Residence
KLCC,3600000,4,2,3897.097,Partly Furnished,Built-up,3,0,0,Serviced Residence
Taman Tun Dr Ismail,5350000,5,3,7200.0,Partly Furnished,Land area,6,0,0,Bungalow
Bukit Jalil,1050000,4,4,1772.072,Partly Furnished,Built-up,4,1,0,Condominium
Bukit Jalil,1200000,4,4,1930.03,Partly Furnished,Built-up,5,1,0,Condominium
Bukit Jalil,900000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
Damansara Heights,2251800,4,2,1668.068,Partly Furnished,Built-up,2,1,0,Serviced Residence
Bukit Jalil,998000,5,4,1650.05,Partly Furnished,Land area,5,1,0,Terrace/Link House
Mont Kiara,1550000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
Setapak,780000,3,2,1368.068,Partly Furnished,Built-up,3,0,0,Condominium
Desa ParkCity,1380000,2,2,1292.092,Partly Furnished,Built-up,2,0,0,Condominium
Desa ParkCity,1798000,3,2,2200.0,Partly Furnished,Built-up,3,1,0,Terrace/Link House
KLCC,1268000,3,1,1619.019,Fully Furnished,Built-up,3,0,0,Condominium
KLCC,2600000,4,3,2809.009,Fully Furnished,Built-up,3,1,0,Condominium
KLCC,4200000,4,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,3330000,3,1,2789.089,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,2600000,2,1,1184.084,Fully Furnished,Built-up,2,0,0,Serviced Residence
KLCC,1950000,2,1,1076.076,Partly Furnished,Built-up,1,1,0,Serviced Residence
Kepong,638000,2,4,48.57,Partly Furnished,Land area,3,1,0,Terrace/Link House
KLCC,1400000,2,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Kepong,850000,3,2,51.08,Partly Furnished,Land area,4,0,0,Terrace/Link House
Damansara Heights,6500000,5,4,7200.0,Partly Furnished,Land area,6,0,0,Bungalow
Mont Kiara,1800000,4,2,1830.03,Partly Furnished,Built-up,4,0,0,Condominium
Bangsar,3800000,5,4,4067.067,Partly Furnished,Built-up,4,1,0,Bungalow
KLCC,3600000,5,2,3897.097,Unknown,Built-up,3,2,0,Serviced Residence
Segambut,635000,4,2,1643.043,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,5070000,4,3,2142.042,Partly Furnished,Built-up,3,1,0,Serviced Residence
KL City,1207000,1,1,685.085,Partly Furnished,Built-up,0,0,1,Serviced Residence
KL City,1177000,1,1,717.017,Partly Furnished,Built-up,2,0,0,Serviced Residence
Wangsa Maju,700000,2,2,1152.052,Partly Furnished,Built-up,3,0,0,Condominium
Mont Kiara,3785400,5,3,3907.007,Partly Furnished,Built-up,5,1,0,Condominium
KLCC,1300000,2,2,871.071,Fully Furnished,Built-up,2,0,0,Condominium
Sentul,960000,4,2,1488.088,Unfurnished,Built-up,3,1,0,Condominium
KL City,490000,2,2,1065.065,Unfurnished,Built-up,4,0,0,Condominium
Mont Kiara,4200000,5,3,3709.009,Partly Furnished,Built-up,5,1,0,Condominium
KLCC,1450000,1,1,1050.05,Fully Furnished,Built-up,2,0,0,Serviced Residence
Desa ParkCity,2380000,4,3,2454.054,Fully Furnished,Built-up,4,1,0,Condominium
Bukit Jalil,1210000,6,4,3400.0,Partly Furnished,Built-up,5,1,0,Terrace/Link House
Taman Tun Dr Ismail,4995000,7,6,8113.013,Partly Furnished,Land area,5,1,0,Bungalow
Mont Kiara,1900000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,2700000,2,2,1195.095,Partly Furnished,Built-up,2,0,0,Serviced Residence
KLCC,6300000,4,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,1900000,2,1,915.015,Fully Furnished,Built-up,2,1,0,Condominium
KLCC,3000000,5,3,3218.018,Partly Furnished,Built-up,4,1,0,Condominium
KLCC,1000000,1,1,751.051,Partly Furnished,Built-up,1,0,0,Condominium
KLCC,2000000,2,1,1350.05,Fully Furnished,Built-up,2,1,0,Serviced Residence
KLCC,6380000,4,2,2195.095,Partly Furnished,Built-up,3,1,0,Serviced Residence
Batu Caves,676775,3,4,1265.065,Partly Furnished,Built-up,3,1,0,Serviced Residence
Mont Kiara,1830000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
City Centre,1750000,3,1,1442.042,Partly Furnished,Built-up,2,1,0,Serviced Residence
Desa ParkCity,1780000,3,2,2400.0,Fully Furnished,Built-up,3,1,0,Terrace/Link House
Bukit Jalil,1200000,4,4,1930.03,Partly Furnished,Built-up,5,1,0,Condominium
KLCC,2300000,2,1,1046.046,Partly Furnished,Built-up,1,0,0,Serviced Residence
Mont Kiara,1600000,3,2,1878.078,Partly Furnished,Built-up,3,1,0,Condominium
