Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Taman Melawati, Kuala Lumpur","RM 750,000",4,3,3,2-sty Terrace/Link House,Land area : 24 X 75 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 580,000",4+1,2,2,Condominium (Corner),"Built-up : 1,550 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,180,000",4+1,4,3,Condominium (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,030,000",3+1,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,450,000",4+1,6,3,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur","RM 4,080,000",4+1,5,2,Condominium (Corner),"Built-up : 3,713 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,880,000",4+1,3,4,2-sty Terrace/Link House (Corner),Land area : 4244 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,799,000",1,1,1,Serviced Residence,Built-up : 720 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,820,000",2+1,2,2,Condominium (Corner),"Built-up : 1,159 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,650,000",3+1,5,2,Condominium (Corner),"Built-up : 1,905 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,2,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,400,000",4+1,5,3,Condominium,Land area : 2702 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,055,000",1+1,1,1,Serviced Residence (Intermediate),Built-up : 797 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,714,000",1,1,1,Serviced Residence (Intermediate),Built-up : 700 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",3+1,4,3,Serviced Residence (Corner),"Built-up : 3,282 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 920,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,1,2,Serviced Residence (Intermediate),"Built-up : 1,046 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,995,000",5+1,7,6,Bungalow,Land area : 8113 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,630,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,850,000",4+1,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,783,000",2,2,1,Condominium,Built-up : 976 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,180,000",3+1,4,1,Condominium (Intermediate),"Built-up : 1,942 sq. ft.",Partly Furnished
"City Centre, Kuala Lumpur","RM 1,700,000",2+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,442 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,100,000",4+1,6,3,Condominium (Corner),"Built-up : 3,400 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 630,000",2,2,2,Serviced Residence,Built-up : 791 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 2,040,000",5+1,5,4,2.5-sty Terrace/Link House (Intermediate),Land area : 32 x 75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,780,000",1,1,1,Serviced Residence (Corner),Built-up : 728 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,050,000",2+1,2,2,Condominium,"Built-up : 1,389 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,600,000",4+1,4,3,Condominium,"Built-up : 3,041 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 630,000",1+1,1,1,Serviced Residence,Built-up : 663 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 3,364,000",2+1,2,2,Serviced Residence,"Built-up : 1,399 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 978,000",4+1,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,000,000",1,1,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,630,000",4+1,4,2,Condominium,"Built-up : 2,065 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,280,000",4,3,3,2-sty Terrace/Link House (Intermediate),Land area : 25x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur","RM 630,000",1+1,1,1,Serviced Residence,Built-up : 650 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,350,000",2,2,1,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 490,000",1,1,1,Serviced Residence (Intermediate),Built-up : 500 sq. ft.,Fully Furnished
"Bangsar South, Kuala Lumpur","RM 800,000",2,2,1,Serviced Residence (Corner),Built-up : 825 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,035,000",3+1,5,2,Condominium,"Built-up : 1,853 sq. ft.",Unknown
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (EndLot),Built-up : 657 sq. ft.,Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 448,800",3,3,1,Serviced Residence (Intermediate),"Built-up : 1,045 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,5,3,Condominium (Corner),"Built-up : 3,041 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,716,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,227 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur","RM 9,500,000",6+1,7,6,Bungalow (Corner),Land area : 10000 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur","RM 500,000",2,2,1,Serviced Residence (Corner),Built-up : 715 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 13,800,000",5+1,7,3,Bungalow (Corner),Land area : 7500 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,300,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x83 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,480,000",4+1,5,3,Condominium,"Built-up : 3,041 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur","RM 3,500,000",3,3,1,Serviced Residence,"Built-up : 1,560 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,380,000",4,3,2,2-sty Terrace/Link House,Land area : 24x75 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,060,000",4+1,4,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,3,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,850,000",3,1,1,Condominium (Corner),"Built-up : 2,174 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 668,000",3+1,3,3,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,050,000",2+2,3,2,Serviced Residence (Intermediate),"Built-up : 1,313 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,998,000",3+1,3,2,Condominium (Intermediate),"Built-up : 3,218 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,580,000",3+1,3,2,Condominium (Intermediate),"Built-up : 2,809 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",2,2,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,3,2,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,900,000",3+1,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur","RM 670,000",3,2,2,Condominium,"Built-up : 1,085 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,350,000",2,2,2,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished
