Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KL Sentral, Kuala Lumpur","RM 2,350,000",3+1,3,1,Serviced Residence,"Built-up : 1,873 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,400,000",3+1,4,2,Serviced Residence,"Built-up : 1,787 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,650,000",2,2,1,Serviced Residence,"Built-up : 1,399 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,950,000",2+1,2,1,Serviced Residence,"Built-up : 1,485 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,800,000",2+1,2,1,Serviced Residence,"Built-up : 1,485 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,390,000",1+1,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,350,000",1+1,1,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 2,376,000",2+1,3,1,Serviced Residence,"Built-up : 1,485 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 310,000",3,2,1,Apartment (Intermediate),Built-up : 820 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,5,2,Condominium (Duplex),"Built-up : 3,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,500,000",1+1,2,1,Serviced Residence (Corner),"Built-up : 1,076 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,350,000",4+1,4,2,Condominium (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished
"Ampang, Kuala Lumpur","RM 500,000",2,2,1,Condominium (Intermediate),Built-up : 485 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",3+1,4,2,Condominium,"Built-up : 2,500 sq. ft.",Fully Furnished
"Taman Desa, Kuala Lumpur","RM 438,000",1,1,1,Serviced Residence (Intermediate),Built-up : 587 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur","RM 500,000",2,2,1,Serviced Residence,Built-up : 715 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 540,000",3,2,1,Condominium,"Built-up : 1,010 sq. ft.",Unfurnished
"Ampang, Kuala Lumpur","RM 470,000",Studio,1,1,Condominium (Corner),Built-up : 490 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 800,000",2,2,1,Condominium (Corner),Built-up : 750 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 499,000",2,2,1,Condominium (Corner),Built-up : 680 sq. ft.,Fully Furnished
"Jalan Kuching, Kuala Lumpur","RM 620,000",3,2,1,Condominium,"Built-up : 1,250 sq. ft.",Unfurnished
"Taman Melawati, Kuala Lumpur","RM 520,000",3,2,2,Serviced Residence,"Built-up : 1,007 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 530,000",1,2,1,Serviced Residence,Built-up : 715 sq. ft.,Unfurnished
"Taman Desa, Kuala Lumpur","RM 460,000",1,1,1,Serviced Residence,Built-up : 578 sq. ft.,Fully Furnished
"KL City, Kuala Lumpur","RM 480,000",2+1,2,1,Condominium,"Built-up : 1,138 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur","RM 315,000",3,2,1,Apartment,"Built-up : 1,186 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 355,000",3,2,1,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 960,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,146 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",3+1,5,2,Condominium (Corner),"Built-up : 3,316 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,480,000",3+1,5,2,Condominium (Corner),"Built-up : 3,335 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 535,400",1,1,1,Serviced Residence (Corner),Built-up : 762 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 2,020,888",5,5,4,3-sty Terrace/Link House (Corner),"Built-up : 3,725 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 903,281",Studio,1,1,Condominium (Intermediate),Built-up : 657 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,742,000",2,2,1,Condominium (Corner),Built-up : 871 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,298,000",1,1,1,Condominium (Intermediate),Built-up : 649 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,378,000",1,1,1,Condominium (EndLot),Built-up : 689 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,464,000",3,3,1,Condominium,"Built-up : 1,232 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,062,000",3,2,1,Condominium,"Built-up : 1,031 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,800,000",4+1,5,2,Condominium (Intermediate),"Built-up : 3,218 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,226,960",4+1,5,3,Condominium (Intermediate),"Built-up : 3,667 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,850,000",4+1,5,3,Condominium (Intermediate),"Built-up : 3,741 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 600,000",4,3,1,Condominium (Corner),"Built-up : 1,416 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,480,000",3+2,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 8,360,000",5+2,7,2,Serviced Residence (Corner),"Built-up : 7,600 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 5,280,000",4,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 9,800,000",5,5,2,Serviced Residence (Intermediate),"Built-up : 7,793 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 580,000",3+1,3,1,Condominium (Intermediate),"Built-up : 1,408 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,950,000",3+1,3,2,Condominium (Corner),"Built-up : 1,535 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",1,1,1,Condominium (Intermediate),Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,898,000",3+1,3,2,Condominium (Corner),"Built-up : 1,535 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 650,000",3,2,2,Condominium (Corner),"Built-up : 1,345 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",1+1,2,1,Serviced Residence (Corner),Built-up : 915 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,166,100",2+1,2,1,Serviced Residence (Corner),Built-up : 897 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,500,000",2,2,1,Serviced Residence (Intermediate),"Built-up : 1,030 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 420,000",3,2,1,Condominium (EndLot),Built-up : 980 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 770,000",3,2,1,Condominium (Corner),"Built-up : 1,280 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,120,000",3+2,3,2,Serviced Residence,"Built-up : 1,650 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 760,000",3+1,2,2,Condominium (Corner),"Built-up : 1,268 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 770,000",3+1,2,2,Condominium (Corner),"Built-up : 1,268 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,450,000",3+1,2,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 680,000",2,2,1,Condominium,"Built-up : 1,050 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 600,000",1,2,1,Condominium (Corner),Built-up : 789 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,480,000",3+1,3,2,Condominium,"Built-up : 1,909 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,900,000",4+1,3,3,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 350,000",2,2,2,Serviced Residence (Intermediate),Built-up : 856 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 410,000",3,2,2,Serviced Residence,"Built-up : 1,009 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 565,000",3+1,3,2,Condominium (Corner),"Built-up : 1,231 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 430,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,002 sq. ft.",Fully Furnished
"Pandan Indah, Kuala Lumpur","RM 720,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1200 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,250,000",3,2,1,Condominium (Intermediate),"Built-up : 1,356 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur","RM 595,000",1,1,1,Serviced Residence,Built-up : 820 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur","RM 820,000",3+1,4,3,Condominium (Corner),"Built-up : 1,381 sq. ft.",Partly Furnished
"KL Sentral, Kuala Lumpur","RM 1,300,000",1+1,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 650,000",3,2,1,Serviced Residence,Built-up : 953 sq. ft.,Unfurnished
"KL Sentral, Kuala Lumpur","RM 1,280,000",1+1,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,250,000",1+1,2,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,850,000",2+1,3,1,Serviced Residence,"Built-up : 1,485 sq. ft.",Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,580,000",1+1,2,1,Serviced Residence,"Built-up : 1,259 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 528,000",2,2,1,Serviced Residence,Built-up : 785 sq. ft.,Unfurnished
"Ampang, Kuala Lumpur","RM 630,000",2,2,2,Serviced Residence,"Built-up : 1,085 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur","RM 430,000",Studio,1,1,Serviced Residence,Built-up : 520 sq. ft.,Fully Furnished
"Ampang, Kuala Lumpur","RM 530,000",Studio,1,1,Serviced Residence,Built-up : 640 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 370,000",3,2,1,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 348,000",3,2,1,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 705,000",3+1,2,2,Condominium,"Built-up : 1,000 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 440,000",3,2,1,Condominium,"Built-up : 1,222 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 13,800,000",5+1,7,4,Bungalow,Land area : 7500 sq. ft.,Partly Furnished
"Pandan Indah, Kuala Lumpur","RM 720,000",4,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1200 sq. ft.,Partly Furnished
"Sentul, Kuala Lumpur","RM 535,000",3,2,1,Condominium (Corner),"Built-up : 1,079 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 1,330,000",4+1,6,2,Condominium,"Built-up : 2,049 sq. ft.",Partly Furnished
"Sentul, Kuala Lumpur","RM 875,000",3+1,4,3,Condominium,"Built-up : 1,381 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 4,300,000",5,6,4,Condominium,"Built-up : 4,800 sq. ft.",Unfurnished
"Desa ParkCity, Kuala Lumpur","RM 2,400,000",4,4,2,2-sty Terrace/Link House (Intermediate),Land area : 24x87 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,580,000",3,2,2,Condominium (Corner),"Built-up : 1,341 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,850,000",3,3,2,2-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 4,800,000",4+1,6,2,Serviced Residence,"Built-up : 3,300 sq. ft.",Fully Furnished
"Desa Petaling, Kuala Lumpur","RM 350,000",3,2,1,Condominium (Intermediate),Built-up : 956 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,790,000",3+1,5,2,Serviced Residence,"Built-up : 2,450 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 920,000",1,1,1,Condominium (Intermediate),Built-up : 753 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,850,000",4+1,6,2,Condominium (Corner),"Built-up : 3,778 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 7,300,000",5+1,7,5,Condominium,"Built-up : 6,157 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur","RM 520,000",1,1,1,Serviced Residence,Built-up : 522 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,650,000",2,2,1,Serviced Residence,"Built-up : 1,030 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 570,000",1,1,1,Condominium,Built-up : 555 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 560,000",2,2,1,Serviced Residence,Built-up : 883 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 615,000",2,2,1,Serviced Residence,Built-up : 779 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 700,000",3,2,1,Serviced Residence,"Built-up : 1,112 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 280,000",3,2,1,Apartment,Built-up : 920 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 665,000",3,2,2,Serviced Residence,Built-up : 909 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,930,000",3+1,4,2,Condominium,"Built-up : 2,680 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,500,000",4+1,5,3,Condominium,"Built-up : 3,800 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 416,000",3,2,1,Condominium (EndLot),"Built-up : 1,022 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 815,000",4+1,3,3,Condominium,"Built-up : 1,843 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 605,000",3,2,2,Condominium,"Built-up : 1,105 sq. ft.",Partly Furnished
"Desa Petaling, Kuala Lumpur","RM 298,000",3,2,1,Condominium (Intermediate),Built-up : 956 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 925,000",1+1,1,1,Condominium (Intermediate),Built-up : 700 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 800,000",1,1,1,Serviced Residence,Built-up : 829 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur","RM 3,150,000",5+2,3,3,Semi-detached House (Intermediate),Land area : 4000 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,380,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,582 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,500,000",3+1,5,3,Serviced Residence,"Built-up : 3,283 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 3,500,000",3+1,4,2,Serviced Residence,"Built-up : 3,897 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,800,000",4,5,2,Serviced Residence,"Built-up : 3,283 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,650,000",4+1,5,3,Condominium,"Built-up : 3,704 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,200,000",4+1,5,3,Condominium,"Built-up : 3,632 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,110,000",4+1,5,3,Condominium,"Built-up : 3,667 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,200,000",4+1,5,3,Condominium,"Built-up : 3,667 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,100,000",3,2,2,Serviced Residence,"Built-up : 1,238 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,130,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,148 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,100,000",2,2,1,Serviced Residence,"Built-up : 1,145 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,600,000",4+1,4,2,Condominium,"Built-up : 5,160 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,000,000",3+1,4,2,Condominium,"Built-up : 2,680 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 3,800,000",4+1,5,5,Condominium (Duplex),"Built-up : 5,134 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",4+1,5,2,Condominium,"Built-up : 3,543 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 1,180,000",4,3,5,2-sty Terrace/Link House (Corner),Land area : 3360 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 1,220,000",5,5,3,2.5-sty Terrace/Link House (Intermediate),Land area : 22 x 66 sq. ft.,Fully Furnished
"Kepong, Kuala Lumpur","RM 800,000",5,3,3,2-sty Terrace/Link House (Intermediate),Land area : 22 x 80 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur","RM 370,000",3,2,1,Condominium (Intermediate),"Built-up : 1,001 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 715,000",4,2,2,Condominium (Intermediate),"Built-up : 1,450 sq. ft.",Partly Furnished
"Jalan Sultan Ismail, Kuala Lumpur","RM 670,000",2,2,1,Serviced Residence,Built-up : 890 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur","RM 430,000",3+1,3,1,Condominium,"Built-up : 1,335 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 282,000",Studio,1,1,Serviced Residence (Intermediate),Built-up : 472 sq. ft.,Unfurnished
"Jalan Kuching, Kuala Lumpur","RM 538,000",3,2,2,Serviced Residence,"Built-up : 1,129 sq. ft.",Partly Furnished
"Desa Petaling, Kuala Lumpur","RM 290,000",3,2,1,Apartment (Corner),Land area : 886 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,783,000",2,2,1,Condominium,Built-up : 976 sq. ft.,Fully Furnished
"Keramat, Kuala Lumpur","RM 1,700,000",6,3,5,Semi-detached House,Land area : 3900 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,980,000",3+1,4,1,Serviced Residence (Intermediate),"Built-up : 1,626 sq. ft.",Fully Furnished
"Wangsa Maju, Kuala Lumpur","RM 650,000",2+1,2,1,Condominium,Built-up : 991 sq. ft.,Unfurnished
"Wangsa Maju, Kuala Lumpur","RM 600,000",2+1,2,1,Condominium,Built-up : 991 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 290,000",3,2,1,Apartment,"Built-up : 1,020 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 295,000",3,2,1,Apartment,Built-up : 780 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 630,000",4,2,1,Apartment (Intermediate),"Built-up : 1,900 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 380,000",4,2,1,Apartment (Intermediate),"Built-up : 1,207 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 240,000",3,2,1,Condominium,Built-up : 850 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 349,000",3,2,1,Condominium,Built-up : 930 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 2,380,000",5+1,5,2,3-sty Terrace/Link House (Intermediate),Land area : 1760 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 8,100,000",7+1,8,10,Bungalow,Land area : 26000 sq. ft.,Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,100,000",2,1,2,Condominium,"Built-up : 1,034 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,820,000",4+1,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 615,000",2+1,2,2,Serviced Residence,"Built-up : 1,025 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 920,000",3,2,1,Serviced Residence,"Built-up : 1,022 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 450,000",1,2,1,Serviced Residence,Built-up : 775 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 550,000",1,2,2,Serviced Residence (Corner),Land area : Corner Unit sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 680,000",2,2,1,Serviced Residence,Land area : Corner Unit sq. ft.,Partly Furnished
"Brickfields, Kuala Lumpur","RM 599,000",3,2,1,Condominium (Corner),"Built-up : 1,119 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur","RM 700,000",2,2,1,Serviced Residence,Built-up : 850 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,320,000",3+1,4,2,Serviced Residence,"Built-up : 1,378 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 900,000",2+1,2,1,Serviced Residence,"Built-up : 1,055 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 720,000",3,2,1,Condominium,"Built-up : 1,048 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 510,000",2,1,1,Condominium,Built-up : 730 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 690,000",2,2,1,Serviced Residence,Built-up : 852 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 660,000",3+1,2,2,Serviced Residence (Intermediate),"Built-up : 1,094 sq. ft.",Unfurnished
"Bukit Jalil, Kuala Lumpur","RM 1,400,000",3+1,4,3,Condominium (Corner),"Built-up : 1,878 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 485,000",3,2,2,Condominium,"Built-up : 1,018 sq. ft.",Unfurnished
"Cheras, Kuala Lumpur","RM 399,000",3,2,1,Apartment (Intermediate),Built-up : 980 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 530,000",3,2,2,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 405,000",3,2,1,Serviced Residence (Intermediate),Built-up : 770 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 460,000",3,2,1,Serviced Residence,"Built-up : 1,081 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 650,000",3,2,2,Condominium,"Built-up : 1,472 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 280,000",2,1,1,2-sty Terrace/Link House (Intermediate),Land area : 16x50 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 940,000",3,3,1,Condominium,Land area : 1470 sq. ft.,Unfurnished
"Kepong, Kuala Lumpur","RM 1,880,000",6+1,5,6,Semi-detached House (Intermediate),Land area : 35x75 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur","RM 448,000",3,2,1,Condominium (Intermediate),"Built-up : 1,326 sq. ft.",Unfurnished
"Setapak, Kuala Lumpur","RM 555,000",3,4,2,Serviced Residence (Corner),"Built-up : 1,281 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 680,000",4,4,1,Condominium,"Built-up : 1,440 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 580,000",3,2,1,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 630,000",3,2,2,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 4,800,000",6+1,7,4,Semi-detached House,Land area : 4187 sq. ft.,Fully Furnished
"KL City, Kuala Lumpur","RM 1,189,724",2,1,1,Serviced Residence,Built-up : 717 sq. ft.,Partly Furnished
"KL City, Kuala Lumpur","RM 1,065,576",1+1,1,1,Serviced Residence,Built-up : 625 sq. ft.,Partly Furnished
"Sungai Penchala, Kuala Lumpur","RM 5,500,000",7,10,7,Bungalow (Intermediate),Land area : 11600 sq. ft.,Unfurnished
"Sri Hartamas, Kuala Lumpur","RM 3,200,000",4+1,5,3,Condominium,"Built-up : 3,660 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 6,750,000",5+1,7,3,Semi-detached House (Triplex),Land area : 7739 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 2,000,000",3+1,4,1,Condominium (Corner),"Built-up : 2,454 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur","RM 1,800,000",3,4,2,2-sty Terrace/Link House (Intermediate),Land area : 22x80 sq. ft.,Partly Furnished
"City Centre, Kuala Lumpur","RM 600,000",1+1,1,1,Serviced Residence (Intermediate),Land area : 630 sq. ft.,Unknown
"Bukit Bintang, Kuala Lumpur","RM 1,488,888",2,2,1,Condominium (Corner),Built-up : 946 sq. ft.,Fully Furnished
"Batu Caves, Kuala Lumpur","RM 440,000",3,2,1,Condominium (Intermediate),"Built-up : 1,405 sq. ft.",Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,300,000",3+1,4,2,Townhouse (Intermediate),"Built-up : 2,336 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur","RM 590,000",3,2,2,Condominium (Corner),"Built-up : 1,037 sq. ft.",Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,350,000",3+1,4,2,Townhouse (Intermediate),"Built-up : 2,600 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 900,000",3,2,1,Condominium,"Built-up : 1,280 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 599,000",4,2,1,Condominium (Corner),"Built-up : 1,500 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,100,000",2,2,2,Serviced Residence (Corner),Built-up : 659 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur","RM 430,000",1,1,1,Condominium,Built-up : 688 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur","RM 836,000",2,2,1,Serviced Residence,Built-up : 823 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur","RM 728,000",1,1,1,Serviced Residence,Built-up : 647 sq. ft.,Partly Furnished
